index,value
0,834.00000
1,834.00000
2,834.00000
3,834.00000
4,834.00000
5,834.00000
6,834.00000
7,834.00000
8,834.00000
9,834.00000
10,834.00000
11,834.00000
12,834.00000
13,834.00000
14,834.00000
15,834.00000
16,834.00000
17,834.00000
18,834.00000
19,834.00000
20,834.00000
21,834.00000
22,834.00000
23,834.00000
24,834.00000
25,834.00000
26,834.00000
27,834.00000
28,834.00000
29,834.00000
30,834.00000
31,834.00000
32,834.00000
33,834.00000
34,834.00000
35,834.00000
36,834.00000
37,834.00000
38,834.00000
39,834.00000
40,834.00000
41,834.00000
42,834.00000
43,834.00000
44,834.00000
45,834.00000
46,834.00000
47,834.00000
48,834.00000
49,834.00000
50,834.00000
51,834.00000
52,834.00000
53,834.00000
54,834.00000
55,834.00000
56,834.00000
57,834.00000
58,834.00000
59,834.00000
60,834.00000
61,834.00000
62,834.00000
63,834.00000
64,834.00000
65,834.00000
66,834.00000
67,834.00000
68,834.00000
69,834.00000
70,834.00000
71,834.00000
72,834.00000
73,834.00000
74,834.00000
75,834.00000
76,834.00000
77,834.00000
78,834.00000
79,834.00000
80,834.00000
81,834.00000
82,834.00000
83,834.00000
84,834.00000
85,834.00000
86,834.00000
87,834.00000
88,834.00000
89,834.00000
90,834.00000
91,834.00000
92,834.00000
93,834.00000
94,834.00000
95,834.00000
96,834.00000
97,834.00000
98,834.00000
99,834.00000
100,834.00000
101,834.00000
102,834.00000
103,834.00000
104,834.00000
105,834.00000
106,834.00000
107,834.00000
108,834.00000
109,834.00000
110,834.00000
111,834.00000
112,834.00000
113,834.00000
114,834.00000
115,834.00000
116,834.00000
117,834.00000
118,834.00000
119,834.00000
120,834.00000
121,834.00000
122,834.00000
123,834.00000
124,834.00000
125,834.00000
126,834.00000
127,834.00000
128,834.00000
129,834.00000
130,834.00000
131,834.00000
132,834.00000
133,834.00000
134,834.00000
135,834.00000
136,834.00000
137,834.00000
138,834.00000
139,834.00000
140,834.00000
141,834.00000
142,834.00000
143,834.00000
144,834.00000
145,834.00000
146,834.00000
147,834.00000
148,834.00000
149,834.00000
150,834.00000
151,834.00000
152,834.00000
153,834.00000
154,834.00000
155,834.00000
156,834.00000
157,834.00000
158,834.00000
159,834.00000
160,834.00000
161,834.00000
162,834.00000
163,834.00000
164,834.00000
165,834.00000
166,834.00000
167,834.00000
168,834.00000
169,834.00000
170,834.00000
171,834.00000
172,834.00000
173,834.00000
174,834.00000
175,834.00000
176,834.00000
177,834.00000
178,834.00000
179,834.00000
180,834.00000
181,834.00000
182,834.00000
183,834.00000
184,834.00000
185,834.00000
186,834.00000
187,834.00000
188,834.00000
189,834.00000
190,834.00000
191,834.00000
192,834.00000
193,834.00000
194,834.00000
195,834.00000
196,834.00000
197,834.00000
198,834.00000
199,834.00000
200,834.00000
201,834.00000
202,834.00000
203,834.00000
204,834.00000
205,834.00000
206,834.00000
207,834.00000
208,834.00000
209,834.00000
210,834.00000
211,834.00000
212,834.00000
213,834.00000
214,834.00000
215,834.00000
216,834.00000
217,834.00000
218,834.00000
219,834.00000
220,834.00000
221,834.00000
222,834.00000
223,834.00000
224,834.00000
225,834.00000
226,834.00000
227,834.00000
228,834.00000
229,834.00000
230,834.00000
231,834.00000
232,834.00000
233,834.00000
234,834.00000
235,834.00000
236,834.00000
237,834.00000
238,834.00000
239,834.00000
240,834.00000
241,834.00000
242,834.00000
243,834.00000
244,834.00000
245,834.00000
246,834.00000
247,834.00000
248,834.00000
249,834.00000
250,834.00000
251,834.00000
252,834.00000
253,834.00000
254,834.00000
255,834.00000
256,834.00000
257,834.00000
258,834.00000
259,834.00000
260,834.00000
261,834.00000
262,834.00000
263,834.00000
264,834.00000
265,834.00000
266,834.00000
267,834.00000
268,834.00000
269,834.00000
270,834.00000
271,834.00000
272,834.00000
273,834.00000
274,834.00000
275,834.00000
276,834.00000
277,834.00000
278,834.00000
279,834.00000
280,834.00000
281,834.00000
282,834.00000
283,834.00000
284,834.00000
285,834.00000
286,834.00000
287,834.00000
288,834.00000
289,834.00000
290,834.00000
291,834.00000
292,834.00000
293,834.00000
294,834.00000
295,834.00000
296,834.00000
297,834.00000
298,834.00000
299,834.00000
300,834.00000
301,834.00000
302,834.00000
303,834.00000
304,834.00000
305,834.00000
306,834.00000
307,834.00000
308,834.00000
309,834.00000
310,834.00000
311,834.00000
312,834.00000
313,834.00000
314,834.00000
315,834.00000
316,834.00000
317,834.00000
318,834.00000
319,834.00000
320,834.00000
321,834.00000
322,834.00000
323,834.00000
324,834.00000
325,834.00000
326,834.00000
327,834.00000
328,834.00000
329,834.00000
330,834.00000
331,834.00000
332,834.00000
333,834.00000
334,834.00000
335,834.00000
336,834.00000
337,834.00000
338,834.00000
339,834.00000
340,834.00000
341,834.00000
342,834.00000
343,834.00000
344,834.00000
345,834.00000
346,834.00000
347,834.00000
348,834.00000
349,834.00000
350,834.00000
351,834.00000
352,834.00000
353,834.00000
354,834.00000
355,834.00000
356,834.00000
357,834.00000
358,834.00000
359,834.00000
360,834.00000
361,834.00000
362,834.00000
363,834.00000
364,834.00000
365,834.00000
366,834.00000
367,834.00000
368,834.00000
369,834.00000
370,834.00000
371,834.00000
372,834.00000
373,834.00000
374,834.00000
375,834.00000
376,834.00000
377,834.00000
378,834.00000
379,834.00000
380,834.00000
381,834.00000
382,834.00000
383,834.00000
384,834.00000
385,834.00000
386,834.00000
387,834.00000
388,834.00000
389,834.00000
390,834.00000
391,834.00000
392,834.00000
393,834.00000
394,834.00000
395,834.00000
396,834.00000
397,834.00000
398,834.00000
399,834.00000
400,834.00000
401,834.00000
402,834.00000
403,834.00000
404,834.00000
405,834.00000
406,834.00000
407,834.00000
408,834.00000
409,834.00000
410,834.00000
411,834.00000
412,834.00000
413,834.00000
414,834.00000
415,834.00000
416,834.00000
417,834.00000
418,834.00000
419,834.00000
420,834.00000
421,834.00000
422,834.00000
423,834.00000
424,834.00000
425,834.00000
426,834.00000
427,834.00000
428,834.00000
429,834.00000
430,834.00000
431,834.00000
432,834.00000
433,834.00000
434,834.00000
435,834.00000
436,834.00000
437,834.00000
438,834.00000
439,834.00000
440,834.00000
441,834.00000
442,834.00000
443,834.00000
444,834.00000
445,834.00000
446,834.00000
447,834.00000
448,834.00000
449,834.00000
450,834.00000
451,834.00000
452,834.00000
453,834.00000
454,834.00000
455,834.00000
456,834.00000
457,834.00000
458,834.00000
459,834.00000
460,834.00000
461,834.00000
462,834.00000
463,834.00000
464,834.00000
465,834.00000
466,834.00000
467,834.00000
468,834.00000
469,834.00000
470,834.00000
471,834.00000
472,834.00000
473,834.00000
474,834.00000
475,834.00000
476,834.00000
477,834.00000
478,834.00000
479,834.00000
480,834.00000
481,834.00000
482,834.00000
483,834.00000
484,834.00000
485,834.00000
486,834.00000
487,834.00000
488,834.00000
489,834.00000
490,834.00000
491,834.00000
492,834.00000
493,834.00000
494,834.00000
495,834.00000
496,834.00000
497,834.00000
498,834.00000
499,834.00000
500,834.00000
501,834.00000
502,834.00000
503,834.00000
504,834.00000
505,834.00000
506,834.00000
507,834.00000
508,834.00000
509,834.00000
510,834.00000
511,834.00000
512,834.00000
513,834.00000
514,834.00000
515,834.00000
516,834.00000
517,834.00000
518,834.00000
519,834.00000
520,834.00000
521,834.00000
522,834.00000
523,834.00000
524,834.00000
525,834.00000
526,834.00000
527,834.00000
528,834.00000
529,834.00000
530,834.00000
531,834.00000
532,834.00000
533,834.00000
534,834.00000
535,834.00000
536,834.00000
537,834.00000
538,834.00000
539,834.00000
540,834.00000
541,834.00000
542,834.00000
543,834.00000
544,834.00000
545,834.00000
546,834.00000
547,834.00000
548,834.00000
549,834.00000
550,834.00000
551,834.00000
552,834.00000
553,834.00000
554,834.00000
555,834.00000
556,834.00000
557,834.00000
558,834.00000
559,834.00000
560,834.00000
561,834.00000
562,834.00000
563,834.00000
564,834.00000
565,834.00000
566,834.00000
567,834.00000
568,834.00000
569,834.00000
570,834.00000
571,834.00000
572,834.00000
573,834.00000
574,834.00000
575,834.00000
576,834.00000
577,834.00000
578,834.00000
579,834.00000
580,834.00000
581,834.00000
582,834.00000
583,834.00000
584,834.00000
585,834.00000
586,834.00000
587,834.00000
588,834.00000
589,834.00000
590,834.00000
591,834.00000
592,834.00000
593,834.00000
594,834.00000
595,834.00000
596,834.00000
597,834.00000
598,834.00000
599,834.00000
600,833.90802
601,833.81604
602,833.72406
603,833.63208
604,833.54010
605,833.44812
606,833.35614
607,833.26416
608,833.17218
609,833.08020
610,832.98822
611,832.89624
612,832.80426
613,832.71228
614,832.62030
615,832.52832
616,832.43634
617,832.34436
618,832.25238
619,832.16040
620,832.06842
621,831.97644
622,831.88446
623,831.79248
624,831.70050
625,831.60852
626,831.51654
627,831.42456
628,831.33258
629,831.24060
630,831.14862
631,831.05664
632,830.96466
633,830.87268
634,830.78070
635,830.68872
636,830.59674
637,830.50476
638,830.41278
639,830.32080
640,830.22882
641,830.13684
642,830.04486
643,829.95288
644,829.86090
645,829.76892
646,829.67694
647,829.58496
648,829.49298
649,829.40100
650,829.30902
651,829.21704
652,829.12506
653,829.03308
654,828.94110
655,828.84912
656,828.75714
657,828.66516
658,828.57318
659,828.48120
660,828.38922
661,828.29724
662,828.20526
663,828.11328
664,828.02130
665,827.92932
666,827.83734
667,827.74536
668,827.65338
669,827.56140
670,827.46942
671,827.37744
672,827.28546
673,827.19348
674,827.10150
675,827.00952
676,826.91754
677,826.82556
678,826.73358
679,826.64160
680,826.54962
681,826.45764
682,826.36566
683,826.27368
684,826.18170
685,826.08972
686,825.99774
687,825.90576
688,825.81378
689,825.72180
690,825.62982
691,825.53784
692,825.44586
693,825.35388
694,825.26190
695,825.16992
696,825.07794
697,824.98596
698,824.89398
699,824.80200
700,824.71002
701,824.61804
702,824.52606
703,824.43408
704,824.34210
705,824.25012
706,824.15814
707,824.06616
708,823.97418
709,823.88220
710,823.79022
711,823.69824
712,823.60626
713,823.51428
714,823.42230
715,823.33032
716,823.23834
717,823.14636
718,823.05438
719,822.96240
720,822.87042
721,822.77844
722,822.68646
723,822.59448
724,822.50250
725,822.41052
726,822.31854
727,822.22656
728,822.13458
729,822.04260
730,821.95062
731,821.85864
