index,value0,value1
0,0.0404052734,0.0250854492
1,0.0808105469,0.0501708984
2,0.1212158203,0.0752563477
3,0.1616210938,0.1003417969
4,0.2020263672,0.1254272461
5,0.2424316406,0.1505126953
6,0.2828369141,0.1755981445
7,0.3232421875,0.2006835938
8,0.3636474609,0.2257690430
9,0.4040527344,0.2508544922
10,0.4444580078,0.2759399414
11,0.4848632813,0.3010253906
12,0.5252685547,0.3261108398
13,0.5656738281,0.3511962891
14,0.6060791016,0.3762817383
15,0.6464843750,0.4013671875
16,0.6926269531,0.4264526367
17,0.7387695313,0.4515380859
18,0.7849121094,0.4766235352
19,0.8310546875,0.5017089844
20,0.8771972656,0.5267944336
21,0.9233398438,0.5518798828
22,0.9694824219,0.5769653320
23,1.0156250000,0.6020507813
24,1.0617675781,0.6271362305
25,1.1079101563,0.6522216797
26,1.1540527344,0.6773071289
27,1.2001953125,0.7059936523
28,1.2463378906,0.7346801758
29,1.2924804688,0.7633666992
30,1.3386230469,0.7920532227
31,1.3847656250,0.8207397461
32,1.4309082031,0.8494262695
33,1.4770507813,0.8781127930
34,1.5174560547,0.9067993164
35,1.5578613281,0.9354858398
36,1.5982666016,0.9641723633
37,1.6386718750,0.9928588867
38,1.6790771484,1.0215454102
39,1.7194824219,1.0502319336
40,1.7598876953,1.0789184570
41,1.8002929688,1.1076049805
42,1.8406982422,1.1362915039
43,1.8811035156,1.1649780273
44,1.9215087891,1.1936645508
45,1.9619140625,1.2223510742
46,2.0023193359,1.2510375977
47,2.0427246094,1.2797241211
48,2.0831298828,1.3084106445
49,2.1235351563,1.3370971680
50,2.1639404297,1.3657836914
51,2.2043457031,1.3944702148
52,2.2447509766,1.4231567383
53,2.2851562500,1.4518432617
54,2.3255615234,1.4805297852
55,2.3659667969,1.5073242188
56,2.4063720703,1.5324707031
57,2.4467773438,1.5576171875
58,2.4871826172,1.5827636719
59,2.5275878906,1.6079101563
60,2.5679931641,1.6330566406
61,2.6083984375,1.6582031250
62,2.6488037109,1.6833496094
63,2.6892089844,1.7084960938
64,2.7296142578,1.7336425781
65,2.7700195313,1.7587890625
66,2.8104248047,1.7839355469
67,2.8508300781,1.8090820313
68,2.8912353516,1.8342285156
69,3.0008544922,1.8593750000
70,3.1104736328,1.8845214844
71,3.2200927734,1.9096679688
72,3.3297119141,1.9348144531
73,3.4393310547,1.9599609375
74,3.5489501953,1.9851074219
75,3.6585693359,2.0102539063
76,3.7681884766,2.0354003906
77,3.8778076172,2.0605468750
78,3.9874267578,2.0856933594
79,4.0970458984,2.1108398438
80,4.2066650391,2.1359863281
81,4.3162841797,2.1611328125
82,4.4259033203,2.1862792969
83,4.5355224609,2.2114257813
84,4.6451416016,2.2365722656
85,4.7547607422,2.2617187500
86,4.8643798828,2.2868652344
87,4.9797973633,2.3119506836
88,5.0952148438,2.3370361328
89,5.2106323242,2.3621215820
90,5.3260498047,2.3872070313
91,5.4414672852,2.4122924805
92,5.5568847656,2.4373779297
93,5.6723022461,2.4624633789
94,5.7877197266,2.4875488281
95,5.9031372070,2.5126342773
96,6.0185546875,2.5377197266
97,6.1339721680,2.5628051758
98,6.2493896484,2.5878906250
99,6.3648071289,2.6129760742
100,6.4802246094,2.6380615234
101,6.5956420898,2.6631469727
102,6.7110595703,2.6882324219
103,6.8264770508,2.7133178711
104,6.9418945313,2.7384033203
